"code","Sex","hw1","hw2","hw3","hw4","hw5","hw6","hw7","test1","test2","did_drop_after4","did_drop_immediately"
1,"m",30,26,28,30,30,28,30,60,60,FALSE,FALSE
2,"f",30,26,30,30,28,30,30,57,54,FALSE,FALSE
3,"m",30,28,28,24,26,24,26,54,57,FALSE,FALSE
6,"f",20,18,18,28,26,28,28,45,51,FALSE,FALSE
7,"m",14,24,12,24,6,30,24,36,33,FALSE,FALSE
8,"m",28,28,30,26,28,30,30,60,51,FALSE,FALSE
9,"f",28,30,26,30,28,30,30,54,54,FALSE,FALSE
10,"m",16,20,16,22,0,20,18,45,24,FALSE,FALSE
11,"f",28,24,28,26,30,28,28,51,54,FALSE,FALSE
12,"m",30,30,30,30,28,28,28,54,54,FALSE,FALSE
13,"m",30,26,28,30,28,28,28,54,39,FALSE,FALSE
14,"m",14,28,26,24,28,26,22,60,42,FALSE,FALSE
15,"m",18,18,14,28,24,24,16,36,30,FALSE,FALSE
17,"f",24,26,28,30,28,26,28,42,42,FALSE,FALSE
18,"m",30,26,28,28,26,22,24,60,51,FALSE,FALSE
19,"m",24,20,22,30,28,30,26,50.9192911278805,54,FALSE,FALSE
21,"m",30,28,28,30,28,28,28,60,54,FALSE,FALSE
22,"m",24,28,28,28,30,28,30,45,48,FALSE,FALSE
23,"m",28,26,28,18,28,22,20,60,54,FALSE,FALSE
24,"f",30,28,30,28,30,30,30,57,60,FALSE,FALSE
25,"m",28,30,30,28,28,30,26,51,57,FALSE,FALSE
28,"m",26,28,26,28,20,24,28,60,60,FALSE,FALSE
29,"m",28,28,28,30,30,30,28,54,54,FALSE,FALSE
31,"m",28,28,26,22,8,18,20,51,51,FALSE,FALSE
33,"m",30,30,26,30,28,26,30,60,60,FALSE,FALSE
34,"m",24,24,30,30,28,30,28,60,54,FALSE,FALSE
36,"m",22,26,26,20,28,22,18,60,51,FALSE,FALSE
37,"m",16,28,26,28,28,28,30,51,60,FALSE,FALSE
38,"m",26,26,26,24,28,26,30,57,51,FALSE,FALSE
41,"m",26,24,24,28,26,24,28,45,45,FALSE,FALSE
42,"f",30,30,30,30,30,30,30,60,60,FALSE,FALSE
43,"m",26,28,28,26,28,26,28,57,51,FALSE,FALSE
44,"m",30,26,30,28,28,26,28,48,39,FALSE,FALSE
45,"m",26,24,20,26,16,26,28,45,39,FALSE,FALSE
46,"m",28,26,30,28,30,30,28,45,48,FALSE,FALSE
47,"m",28,28,30,30,28,30,28,60,60,FALSE,FALSE
48,"m",30,28,30,28,30,28,30,57,60,FALSE,FALSE
49,"m",30,28,30,26,26,30,26,57,51,FALSE,FALSE
50,"f",22,24,30,28,28,8,28,57,48,FALSE,FALSE
51,"m",16,12,6,26,14,14,14,27,9,FALSE,FALSE
52,"m",28,28,30,30,30,28,30,54,60,FALSE,FALSE
53,"m",18,24,28,24,28,22,30,54,39,FALSE,FALSE
54,"f",30,30,30,30,30,28,30,60,60,FALSE,FALSE
55,"m",30,28,22,28,30,30,28,57,51,FALSE,FALSE
56,"m",28,26,16,24,16,18,24,33,30,FALSE,FALSE
57,"m",26,28,26,30,28,30,26,48,60,FALSE,FALSE
58,"f",30,28,26,28,26,28,30,54,45,FALSE,FALSE
59,"m",28,28,30,28,28,20,30,60,54,FALSE,FALSE
60,"m",28,24,28,30,30,28,26,57,51,FALSE,FALSE
61,"f",26,16,8,16,8,10,8,42,27,FALSE,FALSE
62,"m",24,26,10,26,26,28,24,42,54,FALSE,FALSE
64,"m",22,24,22,28,30,28,26,45,45,FALSE,FALSE
65,"m",28,30,30,28,28,30,28,54,60,FALSE,FALSE
66,"m",28,24,24,30,20,30,30,52.4075919017698,54,FALSE,FALSE
67,"m",30,28,28,30,28,30,30,60,60,FALSE,FALSE
68,"m",26,22,24,30,28,28,28,54,39,FALSE,FALSE
70,"m",28,28,30,28,26,26,22,57,60,FALSE,FALSE
71,"m",28,28,26,26,26,28,28,54,51,FALSE,FALSE
72,"m",20,28,26,30,18,28,28,48,48,FALSE,FALSE
73,"m",28,28,30,30,30,28,30,60,60,FALSE,FALSE
74,"m",28,24,26,30,28,30,26,54,51,FALSE,FALSE
75,"f",20,24,28,14,14,22,16,48,42,FALSE,FALSE
76,"m",20,16,12,22,14,24,20,42,42,FALSE,FALSE
79,"m",28,28,30,28,30,30,28,60,54,FALSE,FALSE
81,"m",28,28,26,30,26,22,26,57,45,FALSE,FALSE
82,"m",24,24,30,28,30,26,22,57,57,FALSE,FALSE
83,"m",28,30,30,30,30,28,28,57,51,FALSE,FALSE
84,"m",30,30,30,30,28,26,28,54,54,FALSE,FALSE
85,"f",28,30,28,30,28,28,30,54,57,FALSE,FALSE
87,"m",26,30,30,28,28,26,28,60,60,FALSE,FALSE
88,"f",28,12,18,24,28,28,18,45,42,FALSE,FALSE
90,"m",4,22,6,12,0,0,4,36,24,FALSE,FALSE
92,"m",24,24,20,28,26,20,22,57,48,FALSE,FALSE
94,"m",30,28,26,28,30,24,28,60,57,FALSE,FALSE
95,"f",28,28,30,30,30,28,30,54,51,FALSE,FALSE
96,"m",30,30,30,30,30,30,30,60,42,FALSE,FALSE
97,"f",30,30,30,30,28,28,30,60,57,FALSE,FALSE
98,"f",28,28,24,28,28,28,28,51,54,FALSE,FALSE
99,"m",26,12,20,26,8,24,26,45,57,FALSE,FALSE
100,"m",28,30,24,28,28,30,28,51,54,FALSE,FALSE
101,"f",28,26,28,22,30,24,22,54,60,FALSE,FALSE
102,"m",28,24,30,26,28,28,28,60,54,FALSE,FALSE
103,"m",22,22,0,10,8,8,0,30,9,FALSE,FALSE
104,"m",24,26,28,24,20,24,16,54,45,FALSE,FALSE
105,"m",30,28,16,16,12,18,20,36,54,FALSE,FALSE
106,"?",30,28,30,30,30,30,30,57,60,FALSE,FALSE
107,"m",30,28,28,30,30,28,30,60,48,FALSE,FALSE
108,"m",26,28,28,30,30,28,28,60,57,FALSE,FALSE
109,"m",22,18,18,22,16,20,30,60,54,FALSE,FALSE
110,"m",24,28,30,26,28,26,30,45,54,FALSE,FALSE
111,"f",24,26,30,28,28,30,28,45,39,FALSE,FALSE
112,"m",28,30,30,30,30,28,28,60,51,FALSE,FALSE
113,"m",28,26,28,30,28,28,30,60,54,FALSE,FALSE
114,"f",18,8,20,8,8,14,20,42,27,FALSE,FALSE
115,"f",30,24,30,28,30,26,26,54,51.6435143473052,FALSE,FALSE
116,"m",24,20,16,20,18,28,22,45,51,FALSE,FALSE
117,"m",30,28,28,30,28,28,30,60,60,FALSE,FALSE
118,"m",26,28,28,28,28,28,28,39,51,FALSE,FALSE
119,"m",26,28,30,28,28,30,26,54,51,FALSE,FALSE
120,"f",26,26,24,26,24,14,18,60,54,FALSE,FALSE
121,"m",30,30,26,28,24,24,18,54,51,FALSE,FALSE
122,"m",26,28,30,24,26,24,26,60,48,FALSE,FALSE
123,"m",30,26,30,28,30,28,28,60,60,FALSE,FALSE
124,"m",28,24,30,30,30,30,30,57,57,FALSE,FALSE
125,"m",26,28,18,20,20,10,0,57,12,FALSE,FALSE
126,"f",28,28,28,28,30,30,28,54,45,FALSE,FALSE
127,"m",30,26,28,30,28,28,30,57,54,FALSE,FALSE
129,"m",28,24,28,28,28,26,22,57,54,FALSE,FALSE
132,"m",26,24,28,24,22,26,18,54,48,FALSE,FALSE
134,"m",28,24,28,28,28,30,26,54,48,FALSE,FALSE
